Participante,Jogo,Gols_Casa_Palpite,Gols_Fora_Palpite
Lucas,República Tcheca x África do Sul,2,1
Lucas,México x Coreia do Sul,1,1
Lucas,República Tcheca x México,0,2
Lucas,África do Sul x Coreia do Sul,0,1
Lucas,Suíça x Bósnia e Herzegovina,1,0
Lucas,Canadá x Catar,1,0
Lucas,Suíça x Canadá,2,1
Lucas,Bósnia e Herzegovina x Catar,0,0
Lucas,Escócia x Marrocos,0,2
Lucas,Brasil x Haiti,3,0
Lucas,Escócia x Brasil,0,2
Lucas,Marrocos x Haiti,3,0
Lucas,Turquia x Paraguai,1,0
Lucas,Estados Unidos x Austrália,2,0
Lucas,Turquia x Estados Unidos,0,2
Lucas,Paraguai x Austrália,1,1
Lucas,Alemanha x Costa do Marfim,3,1
Lucas,Equador x Curaçao,3,0
Lucas,Equador x Alemanha,1,2
Lucas,Curaçao x Costa do Marfim,0,3
Lucas,Tunísia x Japão,0,2
Lucas,Holanda x Suécia,3,2
Lucas,Japão x Suécia,2,2
Lucas,Tunísia x Holanda,0,4
Lucas,Bélgica x Irã,3,1
Lucas,Nova Zelândia x Egito,0,1
Lucas,Egito x Irã,2,0
Lucas,Nova Zelândia x Bélgica,1,2
Lucas,Espanha x Arábia Saudita,2,0
Lucas,Uruguai x Cabo Verde,3,0
Lucas,Cabo Verde x Arábia Saudita,0,1
Lucas,Uruguai x Espanha,1,4
Lucas,França x Senegal,4,0
Lucas,Iraque x Noruega,0,1
Lucas,França x Iraque,3,0
Lucas,Noruega x Senegal,1,1
Lucas,Noruega x França,0,2
Lucas,Senegal x Iraque,1,1
Lucas,Áustria x Jordânia,1,0
Lucas,Argentina x Argélia,2,1
Lucas,Argentina x Áustria,2,0
Lucas,Jordânia x Argélia,0,0
Lucas,Argélia x Áustria,1,1
Lucas,Jordânia x Argentina,0,3
Lucas,Portugal x Congo RD,4,0
Lucas,Uzbequistão x Colômbia,0,3
Lucas,Colômbia x Portugal,1,3
Lucas,Congo RD x Uzbequistão,1,1
Lucas,Congo RD x Colômbia,0,2
Lucas,Uzbequistão x Portugal,0,3
Lucas,Inglaterra x Croácia,2,1
Lucas,Gana x Panamá,1,1
Lucas,Inglaterra x Gana,3,0
Lucas,Panamá x Croácia,1,2
Lucas,Croácia x Gana,3,1
Lucas,Panamá x Inglaterra,0,4

Josefa,República Tcheca x África do Sul,2,1
Josefa,México x Coreia do Sul,2,1
Josefa,República Tcheca x México,2,2
Josefa,África do Sul x Coreia do Sul,1,1
Josefa,Suíça x Bósnia e Herzegovina,2,1
Josefa,Canadá x Catar,2,1
Josefa,Suíça x Canadá,1,1
Josefa,Bósnia e Herzegovina x Catar,1,1
Josefa,Escócia x Marrocos,1,2
Josefa,Brasil x Haiti,3,1
Josefa,Escócia x Brasil,1,2
Josefa,Marrocos x Haiti,2,1
Josefa,Turquia x Paraguai,1,1
Josefa,Estados Unidos x Austrália,2,1
Josefa,Turquia x Estados Unidos,2,3
Josefa,Paraguai x Austrália,0,1
Josefa,Alemanha x Costa do Marfim,4,1
Josefa,Equador x Curaçao,3,1
Josefa,Equador x Alemanha,1,5
Josefa,Curaçao x Costa do Marfim,0,2
Josefa,Tunísia x Japão,2,2
Josefa,Holanda x Suécia,3,2
Josefa,Japão x Suécia,3,2
Josefa,Tunísia x Holanda,1,2
Josefa,Bélgica x Irã,1,1
Josefa,Nova Zelândia x Egito,2,2
Josefa,Egito x Irã,3,1
Josefa,Nova Zelândia x Bélgica,1,1
Josefa,Espanha x Arábia Saudita,3,1
Josefa,Uruguai x Cabo Verde,1,1
Josefa,Cabo Verde x Arábia Saudita,2,2
Josefa,Uruguai x Espanha,1,3
Josefa,França x Senegal,3,1
Josefa,Iraque x Noruega,1,1
Josefa,França x Iraque,3,1
Josefa,Noruega x Senegal,2,2
Josefa,Noruega x França,1,3
Josefa,Senegal x Iraque,1,1
Josefa,Áustria x Jordânia,1,1
Josefa,Argentina x Argélia,3,1
Josefa,Argentina x Áustria,2,1
Josefa,Jordânia x Argélia,1,1
Josefa,Argélia x Áustria,2,2
Josefa,Jordânia x Argentina,0,2
Josefa,Portugal x Congo RD,3,1
Josefa,Uzbequistão x Colômbia,1,2
Josefa,Colômbia x Portugal,2,3
Josefa,Congo RD x Uzbequistão,1,1
Josefa,Congo RD x Colômbia,1,2
Josefa,Uzbequistão x Portugal,0,2
Josefa,Inglaterra x Croácia,2,2
Josefa,Gana x Panamá,1,1
Josefa,Inglaterra x Gana,2,1
Josefa,Panamá x Croácia,1,2
Josefa,Croácia x Gana,2,1
Josefa,Panamá x Inglaterra,1,2

Rafael,República Tcheca x África do Sul,3,1
Rafael,México x Coreia do Sul,2,2
Rafael,República Tcheca x México,1,2
Rafael,África do Sul x Coreia do Sul,1,3
Rafael,Suíça x Bósnia e Herzegovina,0,1
Rafael,Canadá x Catar,2,1
Rafael,Suíça x Canadá,2,3
Rafael,Bósnia e Herzegovina x Catar,3,1
Rafael,Escócia x Marrocos,0,3
Rafael,Brasil x Haiti,4,2
Rafael,Escócia x Brasil,3,5
Rafael,Marrocos x Haiti,4,3
Rafael,Turquia x Paraguai,0,1
Rafael,Estados Unidos x Austrália,2,2
Rafael,Turquia x Estados Unidos,1,2
Rafael,Paraguai x Austrália,1,2
Rafael,Alemanha x Costa do Marfim,3,1
Rafael,Equador x Curaçao,2,1
Rafael,Equador x Alemanha,1,4
Rafael,Curaçao x Costa do Marfim,1,4
Rafael,Tunísia x Japão,1,3
Rafael,Holanda x Suécia,4,2
Rafael,Japão x Suécia,3,1
Rafael,Tunísia x Holanda,2,4
Rafael,Bélgica x Irã,2,1
Rafael,Nova Zelândia x Egito,2,0
Rafael,Egito x Irã,1,1
Rafael,Nova Zelândia x Bélgica,1,2
Rafael,Espanha x Arábia Saudita,2,0
